# serial emulator-5562, overlay test-fold-gpu, GPU host, adb uid 2000, runs 20
# unfold-m0 = rev 41332376e, apk sha256 6eaf7fdf44fe192834b3a500f591838177a2c304f69f134c595f6f0ccf2c1fc5
# unfold-m1 = rev ed86d45b9, apk sha256 933128bec23d9a4ef985654aa0d27a9e1095154b97fd5360e4664a8376670cb3
build	run	hostload	config_ms	frame_start_ms	frame_end_ms	frame_ms	screen_on_ms	delay	anim	layout	record	sync	issue	swap	total
unfold-m0	1	5.47	69.000000	111.000000	239.800000	128.800000	379.900000	5.2	33.6	44.5	13.0	0.4	14.8	18.8	130.9
unfold-m1	1	4.61	68.800000	201.000000	263.800000	62.800000	353.000000	4.0	0.7	10.0	16.2	0.3	13.9	17.4	63.3
unfold-m0	2	4.25	87.600000	212.300000	309.400000	97.100000	400.800000	3.3	0.1	50.5	18.2	0.5	8.6	19.1	100.9
unfold-m1	2	3.67	101.900000	136.300000	235.100000	98.800000	326.400000	18.0	7.8	50.1	9.0	0.5	8.4	26.9	123.6
unfold-m0	3	3.69	27.800000	68.900000	185.500000	116.600000	257.700000	0.2	21.1	57.1	11.8	0.3	7.1	29.2	127.3
unfold-m1	3	3.91	20.000000	53.700000	171.500000	117.800000	228.200000	3.0	18.4	56.8	14.2	0.4	11.0	21.2	125.4
unfold-m0	4	4.03	61.800000	102.900000	200.200000	97.200000	335.700000	2.9	16.1	42.8	11.1	0.3	8.7	20.6	103.0
unfold-m1	4	3.47	35.600000	96.600000	276.200000	179.600000	351.500000	3.9	24.4	95.3	18.3	0.6	12.2	40.0	195.4
unfold-m0	5	3.15	134.200000	170.000000	269.900000	99.900000	374.400000	0.3	20.9	39.4	9.6	0.4	8.6	19.1	98.6
unfold-m1	5	3.81	60.700000	174.500000	239.500000	65.000000	278.000000	0.3	1.6	13.6	16.9	0.4	11.2	16.3	60.7
unfold-m0	6	3.70	85.100000	231.000000	297.000000	66.000000	350.800000	3.9	0.1	19.0	23.6	0.7	6.5	14.7	71.3
unfold-m1	6	4.42	61.100000	109.000000	216.400000	107.400000	326.800000	0.2	14.3	40.5	11.5	0.4	13.1	20.1	106.2
unfold-m0	7	4.01	82.300000	114.400000	233.300000	119.000000	325.000000	0.2	19.8	58.1	16.1	0.5	9.1	17.4	124.4
unfold-m1	7	4.45	55.000000	176.000000	242.500000	66.500000	313.000000	0.3	2.1	14.9	18.1	0.4	11.4	17.0	64.7
unfold-m0	8	4.00	21.800000	126.400000	176.400000	50.000000	207.000000	0.2	0.2	9.4	13.6	0.4	5.6	17.5	49.2
unfold-m1	8	3.70	18.600000	55.900000	164.300000	108.400000	231.300000	0.1	20.8	56.5	9.6	0.5	6.7	36.7	131.3
unfold-m0	9	3.18	54.500000	138.400000	254.600000	116.200000	328.600000	0.6	19.6	46.1	19.5	0.5	9.1	17.3	114.1
unfold-m1	9	3.38	98.500000	240.900000	733.700000	492.800000	1248.200000	0.4	28.7	143.5	33.4	1.2	59.7	155.9	455.5
unfold-m0	10	4.32	111.500000	255.400000	321.900000	66.400000	362.100000	0.4	0.4	15.8	14.1	1.0	9.9	15.9	62.4
unfold-m1	10	4.37	65.400000	125.600000	358.200000	232.600000	700.600000	4.0	15.5	107.8	34.7	1.0	18.3	162.7	346.0
unfold-m0	11	6.27	66.000000	98.600000	201.700000	103.100000	289.500000	13.7	24.1	42.0	10.7	0.4	7.1	17.5	115.8
unfold-m1	11	7.22	101.600000	185.000000	382.100000	197.100000	496.200000	2.1	21.6	100.4	20.8	0.5	13.7	43.8	208.2
unfold-m0	12	6.41	35.700000	122.200000	187.400000	65.200000	214.800000	0.3	0.3	19.3	10.6	0.3	8.9	17.2	58.3
unfold-m1	12	5.51	30.000000	91.200000	258.800000	167.700000	358.000000	0.9	18.9	79.5	26.9	0.7	12.0	29.2	175.0
unfold-m0	13	7.93	67.500000	109.800000	222.100000	112.300000	338.400000	0.2	18.1	54.4	17.1	0.4	8.9	18.4	117.9
unfold-m1	13	9.95	94.700000	129.800000	279.900000	150.100000	338.500000	0.2	12.8	69.7	27.6	0.5	10.7	24.3	146.5
unfold-m0	14	15.07	326.200000	592.000000	1198.400000	606.400000	1864.900000	19.0	134.0	272.3	52.9	0.4	23.4	157.6	660.3
unfold-m1	14	14.81	106.000000	147.900000	262.300000	114.400000	364.400000	3.7	18.8	50.5	11.2	0.4	8.9	23.1	124.2
unfold-m0	15	12.13	64.600000	202.400000	252.300000	49.900000	355.800000	0.4	0.3	4.0	10.3	0.6	12.8	24.0	53.5
unfold-m1	15	9.20	58.300000	173.700000	223.700000	50.000000	278.700000	0.2	1.0	0.7	11.0	0.4	6.4	31.7	51.9
unfold-m0	16	7.81	59.200000	133.300000	275.100000	141.800000	400.300000	0.2	23.7	69.9	16.1	0.4	6.8	19.5	136.9
unfold-m1	16	10.09	64.500000	129.500000	245.500000	116.000000	351.300000	0.9	18.8	59.0	11.7	0.4	6.1	21.2	119.9
unfold-m0	17	21.31	527.200000	754.700000	1606.500000	851.800000	2508.000000	4.6	169.3	448.7	63.5	7.2	76.3	82.7	868.5
unfold-m1	17	21.08	30.200000	154.900000	230.100000	75.200000	254.400000	41.6	4.3	25.1	13.9	0.9	7.3	22.7	116.6
unfold-m0	18	19.47	68.300000	97.800000	247.500000	149.700000	372.000000	0.6	38.8	65.0	11.9	0.6	8.8	26.6	153.0
unfold-m1	18	17.02	789.800000	888.000000	1448.800000	560.900000	1932.300000	3.1	182.9	240.2	71.1	2.5	17.2	63.9	583.6
unfold-m0	19	18.22	99.800000	173.600000	290.100000	116.500000	379.500000	0.3	13.5	53.1	13.2	0.6	9.3	18.8	118.6
unfold-m1	19	23.93	361.900000	555.100000	1320.600000	765.500000	2107.600000	6.7	94.5	331.5	61.7	9.3	207.9	82.7	797.7
unfold-m0	20	23.80	72.700000	193.000000	372.600000	179.700000	526.000000	0.5	48.7	89.5	14.0	0.4	7.2	20.6	181.4
unfold-m1	20	19.27	93.100000	193.600000	633.300000	439.600000	1822.900000	4.0	31.0	218.8	23.4	0.8	17.2	186.6	483.0
